crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	87.044540	438	0.000000
281474976710655.000000	Inf	439	0.000000
281474976710655.000000	Inf	440	0.000000
281474976710655.000000	Inf	441	0.000000
281474976710655.000000	63.568871	442	0.000000
281474976710655.000000	Inf	443	0.000000
281474976710655.000000	Inf	444	0.000000
281474976710655.000000	Inf	445	0.000000
281474976710655.000000	101.291016	446	0.000000
281474976710655.000000	97.846008	447	0.000000
281474976710655.000000	44.516376	448	0.000000
281474976710655.000000	47.456593	449	0.000000
281474976710655.000000	83.092674	450	0.000000
281474976710655.000000	69.585152	451	0.000000
281474976710655.000000	64.815277	452	0.000000
281474976710655.000000	80.212433	453	0.000000
281474976710655.000000	52.455685	454	0.000000
281474976710655.000000	57.811043	455	0.000000
281474976710655.000000	40.479897	456	0.000000
281474976710655.000000	47.563313	457	0.000000
281474976710655.000000	54.943657	458	0.000000
281474976710655.000000	41.274097	459	0.000000
281474976710655.000000	38.172951	460	0.000000
281474976710655.000000	28.207491	461	0.000000
281474976710655.000000	32.072853	462	0.000000
281474976710655.000000	24.684246	463	0.000000
281474976710655.000000	25.271664	464	0.000000
281474976710655.000000	23.666698	465	0.000000
281474976710655.000000	21.337757	466	0.000000
281474976710655.000000	19.354942	467	0.000000
281474976710655.000000	18.406940	468	0.000000
281474976710655.000000	16.222446	469	0.000000
281474976710655.000000	15.710275	470	0.000000
281474976710655.000000	14.041354	471	0.000000
281474976710655.000000	12.171844	472	0.000000
281474976710655.000000	11.909868	473	0.000000
281474976710655.000000	10.443178	474	0.000000
281474976710655.000000	9.722869	475	0.000000
281474976710655.000000	8.602195	476	0.000000
281474976710655.000000	7.888527	477	0.000000
281474976710655.000000	7.258796	478	0.000000
281474976710655.000000	6.650990	479	0.000000
281474976710655.000000	6.316050	480	0.000000
281474976710655.000000	5.575887	481	0.000000
281474976710655.000000	5.078270	482	0.000000
281474976710655.000000	4.683959	483	0.000000
281474976710655.000000	4.349478	484	0.000000
281474976710655.000000	3.897227	485	0.000000
281474976710655.000000	3.489295	486	0.000000
281474976710655.000000	3.246018	487	0.000000
281474976710655.000000	2.838765	488	0.000000
281474976710655.000000	2.654616	489	0.000000
281474976710655.000000	2.340244	490	0.000000
281474976710655.000000	2.154198	491	0.000000
281474976710655.000000	1.910232	492	0.000000
281474976710655.000000	1.796861	493	0.000000
281474976710655.000000	1.529774	494	0.000000
281474976710655.000000	1.402253	495	0.000000
281474976710655.000000	0.998846	496	0.000000
