num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
905	4169.347543	55.686610	-0.751546	4.689789	98.199160
907	4171.421333	48.643835	-0.720801	4.689186	69.832212
909	4173.496905	42.053243	-0.641123	4.688471	57.595082
911	4175.572265	35.883434	-0.543551	4.687344	42.007788
913	4177.648054	30.127756	-0.466732	4.686178	31.379999
915	4179.722475	25.027443	-0.383778	4.684635	23.035581
917	4181.798496	20.586810	-0.325979	4.683675	17.361756
919	4183.875982	16.876563	-0.270187	-1.599202	12.105346
921	4185.948108	13.823529	-0.225827	-1.598260	8.906728
923	4188.022106	11.377358	-0.184053	-1.598300	6.918257
925	4190.088635	9.402831	-0.153440	-1.598199	4.712061
927	4192.164152	7.825874	-0.124210	-1.598623	3.624356
929	4194.230497	6.563475	-0.103472	-1.600631	2.066901
