crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	Inf	1194	0.000000
281474976710655.000000	Inf	1195	0.000000
281474976710655.000000	Inf	1196	0.000000
281474976710655.000000	Inf	1197	0.000000
281474976710655.000000	Inf	1198	0.000000
281474976710655.000000	Inf	1199	0.000000
281474976710655.000000	218.453400	1200	0.000000
281474976710655.000000	Inf	1201	0.000000
281474976710655.000000	Inf	1202	0.000000
281474976710655.000000	223.046448	1203	0.000000
281474976710655.000000	Inf	1204	0.000000
281474976710655.000000	Inf	1205	0.000000
281474976710655.000000	220.181244	1206	0.000000
281474976710655.000000	Inf	1207	0.000000
281474976710655.000000	Inf	1208	0.000000
281474976710655.000000	Inf	1209	0.000000
281474976710655.000000	Inf	1210	0.000000
281474976710655.000000	Inf	1211	0.000000
281474976710655.000000	Inf	1212	0.000000
281474976710655.000000	Inf	1213	0.000000
281474976710655.000000	Inf	1214	0.000000
281474976710655.000000	186.795288	1215	0.000000
281474976710655.000000	Inf	1216	0.000000
281474976710655.000000	Inf	1217	0.000000
281474976710655.000000	174.080185	1218	0.000000
281474976710655.000000	Inf	1219	0.000000
281474976710655.000000	Inf	1220	0.000000
281474976710655.000000	Inf	1221	0.000000
281474976710655.000000	156.940140	1222	0.000000
281474976710655.000000	182.483902	1223	0.000000
281474976710655.000000	155.579330	1224	0.000000
281474976710655.000000	Inf	1225	0.000000
281474976710655.000000	Inf	1226	0.000000
281474976710655.000000	Inf	1227	0.000000
281474976710655.000000	139.718292	1228	0.000000
281474976710655.000000	138.244263	1229	0.000000
281474976710655.000000	Inf	1230	0.000000
281474976710655.000000	67.334717	1231	0.000000
281474976710655.000000	130.120743	1232	0.000000
281474976710655.000000	Inf	1233	0.000000
281474976710655.000000	Inf	1234	0.000000
281474976710655.000000	137.269028	1235	0.000000
281474976710655.000000	Inf	1236	0.000000
281474976710655.000000	106.936478	1237	0.000000
281474976710655.000000	107.884888	1238	0.000000
281474976710655.000000	57.610909	1239	0.000000
281474976710655.000000	113.184731	1240	0.000000
281474976710655.000000	111.486847	1241	0.000000
281474976710655.000000	106.270668	1242	0.000000
281474976710655.000000	52.326885	1243	0.000000
281474976710655.000000	48.203896	1244	0.000000
281474976710655.000000	204.824844	1245	0.000000
281474976710655.000000	52.231167	1246	0.000000
281474976710655.000000	95.384735	1247	0.000000
281474976710655.000000	91.726952	1248	0.000000
281474976710655.000000	89.783485	1249	0.000000
281474976710655.000000	88.831024	1250	0.000000
281474976710655.000000	86.925964	1251	0.000000
281474976710655.000000	88.146713	1252	0.000000
281474976710655.000000	83.838844	1253	0.000000
281474976710655.000000	153.659592	1254	0.000000
281474976710655.000000	Inf	1255	0.000000
281474976710655.000000	78.245010	1256	0.000000
281474976710655.000000	161.950531	1257	0.000000
281474976710655.000000	78.890030	1258	0.000000
281474976710655.000000	143.352661	1259	0.000000
281474976710655.000000	74.031654	1260	0.000000
281474976710655.000000	72.900688	1261	0.000000
281474976710655.000000	43.620617	1262	0.000000
281474976710655.000000	70.269539	1263	0.000000
281474976710655.000000	48.123722	1264	0.000000
281474976710655.000000	40.717182	1265	0.000000
281474976710655.000000	56.714817	1266	0.000000
281474976710655.000000	61.187794	1267	0.000000
281474976710655.000000	55.612320	1268	0.000000
281474976710655.000000	40.056602	1269	0.000000
281474976710655.000000	53.855530	1270	0.000000
281474976710655.000000	58.197475	1271	0.000000
281474976710655.000000	55.923794	1272	0.000000
281474976710655.000000	40.532700	1273	0.000000
281474976710655.000000	48.327538	1274	0.000000
281474976710655.000000	54.360870	1275	0.000000
281474976710655.000000	50.087101	1276	0.000000
281474976710655.000000	50.174191	1277	0.000000
281474976710655.000000	45.334614	1278	0.000000
281474976710655.000000	34.966969	1279	0.000000
281474976710655.000000	42.473831	1280	0.000000
281474976710655.000000	40.564003	1281	0.000000
281474976710655.000000	36.463066	1282	0.000000
281474976710655.000000	36.145515	1283	0.000000
281474976710655.000000	43.864040	1284	0.000000
281474976710655.000000	47.413929	1285	0.000000
281474976710655.000000	30.411673	1286	0.000000
281474976710655.000000	35.540855	1287	0.000000
281474976710655.000000	46.857235	1288	0.000000
281474976710655.000000	36.206131	1289	0.000000
281474976710655.000000	34.067600	1290	0.000000
281474976710655.000000	35.396111	1291	0.000000
281474976710655.000000	31.389179	1292	0.000000
281474976710655.000000	29.001293	1293	0.000000
281474976710655.000000	26.858900	1294	0.000000
281474976710655.000000	29.279737	1295	0.000000
281474976710655.000000	26.162518	1296	0.000000
281474976710655.000000	23.677124	1297	0.000000
281474976710655.000000	28.353493	1298	0.000000
281474976710655.000000	28.287146	1299	0.000000
281474976710655.000000	26.663857	1300	0.000000
281474976710655.000000	25.191193	1301	0.000000
281474976710655.000000	25.894060	1302	0.000000
281474976710655.000000	23.605852	1303	0.000000
281474976710655.000000	23.667280	1304	0.000000
281474976710655.000000	22.109180	1305	0.000000
281474976710655.000000	21.869144	1306	0.000000
281474976710655.000000	21.867846	1307	0.000000
281474976710655.000000	19.767090	1308	0.000000
281474976710655.000000	19.573883	1309	0.000000
281474976710655.000000	19.669683	1310	0.000000
281474976710655.000000	19.039263	1311	0.000000
281474976710655.000000	19.612333	1312	0.000000
281474976710655.000000	18.015272	1313	0.000000
281474976710655.000000	18.148775	1314	0.000000
281474976710655.000000	16.992968	1315	0.000000
281474976710655.000000	16.688663	1316	0.000000
281474976710655.000000	16.240509	1317	0.000000
281474976710655.000000	15.396673	1318	0.000000
281474976710655.000000	15.987593	1319	0.000000
281474976710655.000000	14.364852	1320	0.000000
281474976710655.000000	14.989304	1321	0.000000
281474976710655.000000	14.279697	1322	0.000000
281474976710655.000000	13.303417	1323	0.000000
281474976710655.000000	13.670282	1324	0.000000
281474976710655.000000	13.843297	1325	0.000000
281474976710655.000000	12.736901	1326	0.000000
281474976710655.000000	11.603068	1327	0.000000
281474976710655.000000	12.006043	1328	0.000000
281474976710655.000000	11.961397	1329	0.000000
281474976710655.000000	11.466479	1330	0.000000
281474976710655.000000	10.939122	1331	0.000000
281474976710655.000000	10.788101	1332	0.000000
281474976710655.000000	11.154717	1333	0.000000
281474976710655.000000	10.405002	1334	0.000000
281474976710655.000000	9.496264	1335	0.000000
281474976710655.000000	9.337730	1336	0.000000
281474976710655.000000	9.017674	1337	0.000000
281474976710655.000000	9.030056	1338	0.000000
281474976710655.000000	8.479410	1339	0.000000
281474976710655.000000	8.288010	1340	0.000000
281474976710655.000000	8.641521	1341	0.000000
281474976710655.000000	8.034883	1342	0.000000
281474976710655.000000	7.111485	1343	0.000000
281474976710655.000000	7.616035	1344	0.000000
281474976710655.000000	7.606220	1345	0.000000
281474976710655.000000	7.306178	1346	0.000000
